"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_dex"	"Conc_control"	"Fold"	"p.value"	"FDR"
"chr9"	21534050	21534550	501	"*"	4.2	2.44	4.97	-2.54	0.00015	0.00693
"chr17"	74982079	74982579	501	"*"	6.86	7.26	6.3	0.96	0.000152	0.00699
"chr11"	11979623	11980123	501	"*"	3.77	4.66	1.06	3.59	0.000152	0.00699
"chr3"	156906242	156906742	501	"*"	3.59	4.54	-0.16	4.69	0.000153	0.00702
"chr5"	115873252	115873752	501	"*"	3.62	4.57	-0.16	4.72	0.000154	0.00705
"chr18"	58578213	58578713	501	"*"	3.46	-0.37	4.41	-4.78	0.000155	0.00707
"chr15"	51332251	51332751	501	"*"	3.76	4.64	1.06	3.58	0.000155	0.00708
"chr17"	31571134	31571634	501	"*"	5.44	4.5	6.01	-1.51	0.000155	0.00708
"chr8"	37147970	37148470	501	"*"	4.32	2.67	5.07	-2.4	0.000156	0.00709
"chr2"	67666335	67666835	501	"*"	3.82	4.69	1.26	3.43	0.000156	0.0071
"chr19"	44751048	44751548	501	"*"	4.09	1.95	4.92	-2.96	0.000157	0.0071
"chr12"	105254186	105254686	501	"*"	4.94	5.59	3.73	1.86	0.000159	0.00717
"chr2"	238597004	238597504	501	"*"	4.77	5.46	3.41	2.05	0.000163	0.00736
"chr10"	62577550	62578050	501	"*"	4.02	1.82	4.85	-3.04	0.000163	0.00736
"chr1"	180156001	180156501	501	"*"	4.09	2.13	4.89	-2.76	0.000166	0.00744
"chr7"	20152494	20152994	501	"*"	3.97	1.85	4.79	-2.94	0.000166	0.00744
"chr17"	64603249	64603749	501	"*"	3.55	0.16	4.48	-4.32	0.000166	0.00744
"chr17"	43579133	43579633	501	"*"	4.18	2.41	4.95	-2.54	0.000167	0.00749
"chr9"	21543820	21544320	501	"*"	3.45	-0.37	4.39	-4.77	0.000168	0.00753
"chrX"	103587715	103588215	501	"*"	3.6	4.52	0.48	4.04	0.00017	0.00758
"chr2"	128318612	128319112	501	"*"	5.73	6.27	4.87	1.4	0.000171	0.00758
"chr10"	72255343	72255843	501	"*"	3.58	4.52	-0.16	4.68	0.000171	0.00758
"chr16"	13909954	13910454	501	"*"	3.58	4.52	-0.16	4.68	0.000171	0.00758
"chr3"	105532253	105532753	501	"*"	3.58	4.52	-0.16	4.68	0.000171	0.00758
"chr20"	8855272	8855772	501	"*"	4.29	5.07	2.51	2.56	0.000172	0.00759
"chr1"	26961838	26962338	501	"*"	4.93	5.59	3.66	1.93	0.000172	0.0076
"chr10"	126243882	126244382	501	"*"	4.94	3.62	5.62	-2	0.000173	0.00761
"chr5"	149482851	149483351	501	"*"	4.68	5.41	3.11	2.3	0.000174	0.00764
"chr11"	57499388	57499888	501	"*"	4.39	5.16	2.65	2.51	0.000175	0.00768
"chr17"	8041188	8041688	501	"*"	3.85	4.72	1.31	3.41	0.000175	0.00768
"chr10"	33194152	33194652	501	"*"	4.06	4.88	2.03	2.84	0.000175	0.00768
"chr2"	67057870	67058370	501	"*"	3.6	4.51	0.48	4.03	0.000176	0.00769
"chr3"	157282322	157282822	501	"*"	5.2	5.79	4.17	1.63	0.000177	0.00771
"chr6"	133888900	133889400	501	"*"	6.85	7.24	6.33	0.91	0.000178	0.00775
"chr5"	142644984	142645484	501	"*"	5.18	4.04	5.81	-1.76	0.000178	0.00775
"chr5"	145830471	145830971	501	"*"	4.8	5.46	3.52	1.94	0.000179	0.00776
"chr7"	1532550	1533050	501	"*"	6.78	6.25	7.17	-0.92	0.00018	0.0078
"chr17"	5500732	5501232	501	"*"	5.77	4.96	6.28	-1.32	0.000181	0.00783
"chr1"	183268017	183268517	501	"*"	5.36	4.42	5.93	-1.51	0.000181	0.00783
"chr6"	39902803	39903303	501	"*"	3.84	4.71	1.31	3.4	0.000184	0.00796
"chr11"	88476036	88476536	501	"*"	3.66	4.56	0.76	3.8	0.000185	0.00797
"chr19"	11549930	11550430	501	"*"	3.43	-0.37	4.37	-4.75	0.000186	0.008
"chr5"	139747423	139747923	501	"*"	5.1	4.03	5.7	-1.68	0.000187	0.00803
"chr2"	205757985	205758485	501	"*"	3.8	4.66	1.37	3.29	0.00019	0.00811
"chr13"	109754250	109754750	501	"*"	3.81	4.66	1.43	3.23	0.00019	0.00811
"chr11"	114198122	114198622	501	"*"	5.32	6.23	2.28	3.95	0.00019	0.00811
"chr10"	30055269	30055769	501	"*"	4.58	5.3	3.09	2.21	0.000192	0.00818
"chr10"	126388123	126388623	501	"*"	5.79	4.95	6.32	-1.37	0.000193	0.00818
"chr8"	144528873	144529373	501	"*"	6.8	7.19	6.26	0.92	0.000193	0.00818
"chr1"	67880173	67880673	501	"*"	3.9	4.75	1.53	3.22	0.000193	0.00818
"chr6"	111566975	111567475	501	"*"	3.78	4.64	1.26	3.38	0.000193	0.00818
"chr14"	63204145	63204645	501	"*"	4.91	3.61	5.58	-1.98	0.000194	0.00818
"chr2"	190890886	190891386	501	"*"	4.69	3.39	5.37	-1.98	0.000194	0.00818
"chr2"	207134020	207134520	501	"*"	4.66	5.35	3.27	2.08	0.000194	0.00818
"chr1"	51612559	51613059	501	"*"	5.1	5.71	4.02	1.69	0.000197	0.00829
"chr22"	30235760	30236260	501	"*"	3.56	0.71	4.46	-3.75	0.000199	0.00837
"chr17"	64656168	64656668	501	"*"	4.57	3.19	5.26	-2.07	0.000199	0.00837
"chr9"	84271545	84272045	501	"*"	3.54	4.48	-0.16	4.64	0.000201	0.00841
"chr1"	227947648	227948148	501	"*"	6.19	6.65	5.53	1.12	0.000201	0.00841
"chr9"	115109221	115109721	501	"*"	3.68	1.21	4.54	-3.33	0.000201	0.00841
"chr15"	80807346	80807846	501	"*"	3.62	0.98	4.5	-3.52	0.000202	0.00843
"chr15"	80824708	80825208	501	"*"	3.41	-0.37	4.36	-4.73	0.000203	0.00844
"chr5"	34524160	34524660	501	"*"	3.53	0.63	4.43	-3.8	0.000203	0.00845
"chr12"	103851062	103851562	501	"*"	3.58	4.5	0.37	4.13	0.000204	0.00847
"chr3"	64267847	64268347	501	"*"	6.67	7.08	6.1	0.98	0.000204	0.00847
"chr17"	64616781	64617281	501	"*"	4.04	2.07	4.84	-2.77	0.000206	0.00851
"chr5"	168976238	168976738	501	"*"	4.24	5.01	2.48	2.53	0.000207	0.00854
"chr1"	115337957	115338457	501	"*"	5.3	4.21	5.91	-1.69	0.000207	0.00856
"chr14"	88831472	88831972	501	"*"	3.52	0.63	4.42	-3.79	0.000209	0.00863
"chr13"	34161832	34162332	501	"*"	4.74	5.41	3.44	1.97	0.00021	0.00863
"chr5"	111945472	111945972	501	"*"	3.52	4.46	-0.16	4.62	0.000215	0.00882
"chr7"	38679415	38679915	501	"*"	3.52	4.46	-0.16	4.62	0.000215	0.00882
"chr2"	128314990	128315490	501	"*"	3.72	4.6	1.06	3.54	0.000216	0.00882
"chr6"	137893676	137894176	501	"*"	3.44	0.16	4.37	-4.21	0.000216	0.00882
"chr1"	180204594	180205094	501	"*"	4.28	2.52	5.05	-2.53	0.000217	0.00882
"chr5"	158456864	158457364	501	"*"	3.89	1.55	4.74	-3.2	0.000217	0.00882
"chr11"	79440020	79440520	501	"*"	6.14	6.59	5.47	1.13	0.000217	0.00882
"chr4"	147050369	147050869	501	"*"	5.02	5.64	3.92	1.72	0.000217	0.00882
"chr10"	3810030	3810530	501	"*"	4.66	5.34	3.32	2.02	0.000219	0.00887
"chr18"	57780813	57781313	501	"*"	6.21	5.54	6.67	-1.12	0.000221	0.00896
"chr5"	399621	400121	501	"*"	5.41	4.48	5.97	-1.48	0.000225	0.0091
"chr7"	106217147	106217647	501	"*"	3.88	4.73	1.53	3.21	0.000225	0.0091
"chr15"	90667303	90667803	501	"*"	3.52	4.46	-0.16	4.61	0.000227	0.00914
"chr19"	13826791	13827291	501	"*"	4.34	2.76	5.07	-2.31	0.000228	0.00919
"chrX"	43654922	43655422	501	"*"	5.23	5.82	4.24	1.58	0.00023	0.00925
"chr17"	77096693	77097193	501	"*"	4.5	5.21	3.05	2.17	0.000234	0.00938
"chr9"	70382212	70382712	501	"*"	3.99	4.8	1.92	2.88	0.000234	0.00938
"chr5"	72138880	72139380	501	"*"	4.66	3.38	5.33	-1.95	0.000235	0.00938
"chr9"	121332511	121333011	501	"*"	3.96	4.8	1.71	3.08	0.000235	0.00938
"chr1"	214583726	214584226	501	"*"	3.51	4.45	-0.16	4.6	0.000236	0.00939
"chr1"	19432992	19433492	501	"*"	4.18	4.99	2.16	2.82	0.000236	0.00939
"chr14"	76959298	76959798	501	"*"	4.61	3.13	5.32	-2.19	0.000239	0.0095
"chr7"	43873224	43873724	501	"*"	3.92	1.74	4.75	-3.01	0.000241	0.00954
"chr5"	143400772	143401272	501	"*"	4.6	3.23	5.29	-2.07	0.000241	0.00954
"chr2"	100902705	100903205	501	"*"	4.01	2.1	4.8	-2.7	0.000243	0.00961
"chr20"	25237750	25238250	501	"*"	6.09	6.55	5.41	1.14	0.000247	0.00975
"chr9"	121362081	121362581	501	"*"	4.03	4.85	1.92	2.93	0.00025	0.00988
"chr3"	74643649	74644149	501	"*"	3.5	4.44	-0.16	4.6	0.000252	0.00993
"chr5"	173472245	173472745	501	"*"	4.73	5.4	3.43	1.97	0.000253	0.00994
"chr17"	62966269	62966769	501	"*"	5.54	6.07	4.67	1.41	0.000256	0.0101
"chr17"	64649466	64649966	501	"*"	3.67	1.1	4.54	-3.43	0.000256	0.0101
"chr2"	168545655	168546155	501	"*"	3.49	4.43	-0.16	4.59	0.000258	0.0101
"chr5"	140334519	140335019	501	"*"	3.49	0.55	4.39	-3.85	0.00026	0.0102
"chr21"	38323446	38323946	501	"*"	3.83	1.5	4.68	-3.18	0.000261	0.0102
"chr3"	25508780	25509280	501	"*"	3.61	4.5	0.76	3.74	0.000261	0.0102
"chr16"	55502616	55503116	501	"*"	4.1	2.32	4.87	-2.55	0.000261	0.0102
"chr5"	150158634	150159134	501	"*"	4.5	5.21	3.03	2.17	0.000263	0.0102
"chr17"	8602454	8602954	501	"*"	3.37	-0.37	4.32	-4.69	0.000265	0.0103
"chr5"	65127379	65127879	501	"*"	5.33	4.41	5.89	-1.48	0.000265	0.0103
"chr16"	51402809	51403309	501	"*"	3.48	4.42	-0.16	4.58	0.000266	0.0103
"chr6"	158812542	158813042	501	"*"	3.69	4.57	1.06	3.5	0.000266	0.0103
"chr17"	80063890	80064390	501	"*"	4.16	4.96	2.16	2.8	0.000269	0.0104
"chr1"	154006041	154006541	501	"*"	3.48	4.42	-0.16	4.57	0.000272	0.0105
"chr15"	70751108	70751608	501	"*"	3.36	-0.37	4.3	-4.67	0.000273	0.0105
"chr16"	22694814	22695314	501	"*"	4.69	5.35	3.4	1.95	0.000277	0.0106
"chr2"	63660901	63661401	501	"*"	3.72	1.32	4.58	-3.26	0.000277	0.0106
"chrX"	153516009	153516509	501	"*"	3.91	1.92	4.72	-2.8	0.000277	0.0106
"chr2"	156399145	156399645	501	"*"	4.17	4.95	2.34	2.61	0.00028	0.0107
"chr2"	230932637	230933137	501	"*"	3.47	4.41	-0.16	4.57	0.00028	0.0107
"chr10"	62816119	62816619	501	"*"	5.13	4.11	5.72	-1.61	0.000281	0.0107
"chr9"	35367493	35367993	501	"*"	4.72	5.61	1.88	3.73	0.000281	0.0107
"chr9"	19127229	19127729	501	"*"	7.27	7.62	6.81	0.81	0.000282	0.0107
"chr9"	5450313	5450813	501	"*"	5.9	5.17	6.38	-1.21	0.000283	0.0107
"chr2"	47065779	47066279	501	"*"	4.44	2.97	5.15	-2.18	0.000283	0.0108
"chr17"	64620567	64621067	501	"*"	4.48	3.01	5.19	-2.18	0.000285	0.0108
"chr3"	154795499	154795999	501	"*"	4.05	4.84	2.17	2.67	0.000285	0.0108
"chr11"	77266687	77267187	501	"*"	3.48	4.42	-0.16	4.58	0.000287	0.0108
"chr6"	129131266	129131766	501	"*"	3.53	4.44	0.48	3.96	0.00029	0.0109
"chr9"	121338424	121338924	501	"*"	3.69	4.55	1.2	3.35	0.000291	0.011
"chr8"	47659305	47659805	501	"*"	5.62	6.13	4.8	1.33	0.000292	0.011
"chr18"	22831386	22831886	501	"*"	4.19	2.55	4.94	-2.39	0.000293	0.011
"chr17"	64606551	64607051	501	"*"	4.35	2.87	5.07	-2.2	0.000294	0.011
"chr15"	67196556	67197056	501	"*"	4.22	2.61	4.96	-2.35	0.000296	0.0111
"chr11"	122172768	122173268	501	"*"	4.41	2.76	5.16	-2.4	0.000297	0.0111
"chr19"	18014062	18014562	501	"*"	4.31	5.05	2.7	2.35	0.000299	0.0112
"chr7"	107941031	107941531	501	"*"	3.46	4.4	-0.16	4.56	0.000301	0.0112
"chrX"	14015144	14015644	501	"*"	4.36	5.08	2.82	2.26	0.000302	0.0112
"chr11"	61967343	61967843	501	"*"	8.36	8.64	8.02	0.62	0.000303	0.0113
"chr5"	160169370	160169870	501	"*"	3.99	1.98	4.8	-2.82	0.000303	0.0113
"chr6"	108589086	108589586	501	"*"	3.92	4.75	1.76	2.98	0.000306	0.0113
"chr1"	198776526	198777026	501	"*"	3.52	4.46	-0.16	4.61	0.000306	0.0113
"chr16"	56634343	56634843	501	"*"	3.52	4.46	-0.16	4.61	0.000306	0.0113
"chr9"	121372854	121373354	501	"*"	5.04	5.64	3.98	1.66	0.00031	0.0114
"chr9"	108040690	108041190	501	"*"	3.72	4.58	1.26	3.32	0.000312	0.0115
"chr20"	4779211	4779711	501	"*"	3.61	4.49	0.92	3.57	0.000312	0.0115
"chr1"	162585898	162586398	501	"*"	3.39	0.16	4.31	-4.15	0.000314	0.0115
"chr6"	25302655	25303155	501	"*"	4.49	5.19	3.07	2.12	0.000314	0.0115
"chr6"	166956460	166956960	501	"*"	5.72	6.22	4.95	1.27	0.000317	0.0116
"chr5"	157562070	157562570	501	"*"	3.71	1.41	4.55	-3.14	0.000318	0.0117
"chr11"	19981146	19981646	501	"*"	4.41	5.13	2.9	2.23	0.000325	0.0119
"chr8"	13276223	13276723	501	"*"	5.98	5.28	6.45	-1.17	0.000325	0.0119
"chr6"	42045559	42046059	501	"*"	4.63	5.32	3.27	2.05	0.000332	0.0121
"chr13"	75660082	75660582	501	"*"	3.32	-0.37	4.27	-4.64	0.000333	0.0121
"chr4"	122850873	122851373	501	"*"	3.32	-0.37	4.27	-4.64	0.000333	0.0121
"chr1"	182290072	182290572	501	"*"	4.02	4.81	2.13	2.68	0.000333	0.0121
"chr2"	62195902	62196402	501	"*"	7.06	7.43	6.55	0.88	0.000334	0.0121
"chrX"	154047055	154047555	501	"*"	3.44	4.38	-0.16	4.54	0.000334	0.0121
"chr6"	108877424	108877924	501	"*"	4	4.82	1.96	2.85	0.000335	0.0121
"chr8"	38856278	38856778	501	"*"	3.97	4.77	2.03	2.74	0.000337	0.0122
"chr17"	64527496	64527996	501	"*"	4.63	3.34	5.3	-1.95	0.000339	0.0122
"chr12"	21832013	21832513	501	"*"	3.44	4.38	-0.16	4.53	0.00034	0.0122
"chr7"	137940485	137940985	501	"*"	3.44	4.38	-0.16	4.53	0.00034	0.0122
"chr5"	9545890	9546390	501	"*"	6.72	7.11	6.19	0.92	0.000342	0.0123
"chr5"	57450920	57451420	501	"*"	3.6	4.48	0.92	3.56	0.000343	0.0123
"chr6"	85449711	85450211	501	"*"	7.49	7.08	7.8	-0.72	0.000344	0.0123
"chr2"	37916546	37917046	501	"*"	5.55	6.11	4.62	1.48	0.000344	0.0123
"chr5"	39369878	39370378	501	"*"	3.83	1.71	4.66	-2.95	0.000345	0.0123
"chr5"	149260801	149261301	501	"*"	3.43	4.37	-0.16	4.53	0.000347	0.0124
"chr11"	111936814	111937314	501	"*"	4.72	5.42	3.31	2.11	0.000348	0.0124
"chr16"	20851571	20852071	501	"*"	5.63	6.16	4.78	1.38	0.000355	0.0126
"chr11"	122146593	122147093	501	"*"	4.4	2.87	5.12	-2.26	0.000355	0.0126
"chr14"	74520189	74520689	501	"*"	4.04	2.1	4.83	-2.73	0.000357	0.0127
"chr6"	12295755	12296255	501	"*"	3.48	0.71	4.37	-3.67	0.000358	0.0127
"chr2"	37671351	37671851	501	"*"	7.18	7.52	6.73	0.79	0.000359	0.0127
"chr11"	122137045	122137545	501	"*"	5.71	4.95	6.2	-1.25	0.00036	0.0127
"chr2"	201414041	201414541	501	"*"	4.93	5.56	3.79	1.77	0.000364	0.0129
"chr8"	118796458	118796958	501	"*"	4.96	3.86	5.57	-1.71	0.000366	0.0129
"chr10"	58719618	58720118	501	"*"	3.42	4.36	-0.16	4.52	0.000367	0.0129
"chr17"	17496109	17496609	501	"*"	7.78	8.12	7.34	0.79	0.000367	0.0129
"chr1"	172909478	172909978	501	"*"	5.11	4.12	5.69	-1.57	0.000367	0.0129
"chr2"	21038623	21039123	501	"*"	3.44	4.38	-0.16	4.53	0.000368	0.0129
"chr4"	1683993	1684493	501	"*"	6.03	6.49	5.36	1.12	0.000368	0.0129
"chr12"	50222362	50222862	501	"*"	6.48	5.92	6.88	-0.97	0.000369	0.0129
"chr11"	122036026	122036526	501	"*"	3.88	1.74	4.71	-2.96	0.000371	0.013
"chr11"	19725571	19726071	501	"*"	4.71	5.38	3.44	1.94	0.000371	0.013
"chr18"	57662972	57663472	501	"*"	3.37	0.27	4.29	-4.02	0.000374	0.013
"chr12"	105232989	105233489	501	"*"	3.9	4.72	1.76	2.96	0.000374	0.013
"chr2"	224011571	224012071	501	"*"	3.86	1.85	4.67	-2.82	0.000376	0.0131
"chr6"	134472649	134473149	501	"*"	3.43	4.37	-0.16	4.52	0.000376	0.0131
"chr9"	81498988	81499488	501	"*"	4.01	4.8	2.1	2.7	0.000377	0.0131
"chr20"	17505024	17505524	501	"*"	3.91	4.75	1.71	3.03	0.000378	0.0131
"chr3"	30440752	30441252	501	"*"	3.42	4.35	-0.16	4.51	0.00038	0.0131
"chr7"	95582958	95583458	501	"*"	3.42	4.35	-0.16	4.51	0.00038	0.0131
"chr9"	110048488	110048988	501	"*"	7.25	7.58	6.83	0.75	0.000382	0.0132
"chr20"	34268953	34269453	501	"*"	3.64	4.51	1.06	3.45	0.000383	0.0132
"chr12"	127588080	127588580	501	"*"	4.18	2.44	4.95	-2.51	0.000384	0.0132
"chr1"	20494972	20495472	501	"*"	5.67	6.18	4.9	1.28	0.000385	0.0132
"chr17"	81400240	81400740	501	"*"	5.56	4.71	6.1	-1.39	0.000385	0.0132
"chr11"	34750236	34750736	501	"*"	3.81	4.66	1.53	3.13	0.000386	0.0132
"chr14"	62001920	62002420	501	"*"	3.29	-0.37	4.24	-4.61	0.000391	0.0134
"chr1"	202539322	202539822	501	"*"	3.81	1.67	4.63	-2.96	0.000392	0.0134
"chr15"	60752563	60753063	501	"*"	3.41	4.35	-0.16	4.5	0.000393	0.0134
"chr14"	94599113	94599613	501	"*"	3.82	4.67	1.53	3.14	0.000399	0.0136
"chr2"	19358307	19358807	501	"*"	6.46	6.87	5.9	0.96	0.000399	0.0136
"chr7"	131011988	131012488	501	"*"	3.71	1.5	4.55	-3.05	0.000401	0.0136
"chr22"	38755914	38756414	501	"*"	6.62	7.05	6	1.05	0.000401	0.0136
"chr11"	19719856	19720356	501	"*"	3.88	4.71	1.76	2.95	0.000408	0.0138
"chr7"	12687420	12687920	501	"*"	6.91	7.28	6.42	0.86	0.000412	0.0139
"chr11"	9527301	9527801	501	"*"	3.94	4.75	1.92	2.83	0.000413	0.0139
"chr6"	129345808	129346308	501	"*"	3.28	-0.37	4.22	-4.59	0.000413	0.0139
"chr9"	98604048	98604548	501	"*"	3.68	4.54	1.26	3.27	0.000414	0.014
"chr2"	130372393	130372893	501	"*"	7.33	7.65	6.92	0.73	0.000416	0.014
"chr1"	77926277	77926777	501	"*"	3.94	4.74	1.96	2.78	0.000417	0.014
"chr9"	20622174	20622674	501	"*"	6.2	6.64	5.59	1.05	0.000423	0.0142
"chr12"	91189482	91189982	501	"*"	4.04	4.85	2.03	2.82	0.000427	0.0143
"chr12"	103758972	103759472	501	"*"	3.41	4.35	-0.16	4.5	0.000428	0.0144
"chr1"	223702700	223703200	501	"*"	4.2	2.41	4.98	-2.56	0.000437	0.0146
"chr14"	70856878	70857378	501	"*"	5.14	5.74	4.1	1.64	0.000437	0.0146
"chr6"	35673819	35674319	501	"*"	3.39	4.33	-0.16	4.49	0.000438	0.0146
"chr15"	38714421	38714921	501	"*"	4.13	2.44	4.89	-2.45	0.000439	0.0146
"chr3"	157135646	157136146	501	"*"	4.28	5.01	2.69	2.32	0.000441	0.0147
"chr1"	55679981	55680481	501	"*"	3.55	1.04	4.42	-3.38	0.000442	0.0147
"chr2"	237330466	237330966	501	"*"	4.2	4.95	2.51	2.45	0.000443	0.0147
"chr12"	51908654	51909154	501	"*"	3.62	4.49	1.06	3.43	0.000444	0.0147
"chr12"	111409608	111410108	501	"*"	3.76	1.59	4.59	-3	0.000444	0.0147
"chr19"	35544262	35544762	501	"*"	3.87	1.95	4.66	-2.71	0.000445	0.0147
"chr3"	107429368	107429868	501	"*"	5.64	6.14	4.87	1.27	0.000446	0.0147
"chr3"	126267441	126267941	501	"*"	5.43	5.96	4.59	1.37	0.000447	0.0147
"chr9"	121363106	121363606	501	"*"	3.87	4.7	1.76	2.93	0.000447	0.0147
"chr1"	8373418	8373918	501	"*"	4.14	4.92	2.31	2.6	0.000447	0.0147
"chr12"	114315997	114316497	501	"*"	4.48	3.1	5.17	-2.07	0.000448	0.0147
"chr3"	151911927	151912427	501	"*"	3.44	0.71	4.33	-3.63	0.000449	0.0148
"chr1"	116404321	116404821	501	"*"	3.44	4.35	0.37	3.98	0.00045	0.0148
"chr1"	116391852	116392352	501	"*"	3.48	4.39	0.37	4.02	0.000456	0.0149
"chr11"	122196948	122197448	501	"*"	6.1	5.45	6.55	-1.1	0.000456	0.0149
"chr14"	51681031	51681531	501	"*"	4.59	3.34	5.25	-1.91	0.000457	0.0149
"chr17"	64585195	64585695	501	"*"	4.61	3.37	5.27	-1.9	0.000458	0.0149
"chr4"	158172117	158172617	501	"*"	4.23	4.99	2.55	2.43	0.000459	0.015
"chr6"	166624169	166624669	501	"*"	4.71	5.36	3.51	1.85	0.00046	0.015
"chr15"	70753984	70754484	501	"*"	3.66	1.32	4.51	-3.19	0.00046	0.015
"chr10"	72248684	72249184	501	"*"	3.62	4.49	1.06	3.42	0.000461	0.015
"chr9"	107489497	107489997	501	"*"	7.82	8.12	7.44	0.68	0.000462	0.015
"chr7"	137073067	137073567	501	"*"	3.83	1.85	4.64	-2.79	0.000464	0.015
"chr5"	7926299	7926799	501	"*"	3.95	4.77	1.88	2.89	0.000471	0.0152
"chr17"	8623154	8623654	501	"*"	3.26	-0.37	4.2	-4.57	0.000471	0.0152
"chr9"	134750448	134750948	501	"*"	3.41	0.63	4.3	-3.67	0.000473	0.0153
"chr12"	77940171	77940671	501	"*"	5.77	5	6.27	-1.27	0.000476	0.0153
"chr5"	31123832	31124332	501	"*"	4.04	2.32	4.8	-2.48	0.000477	0.0154
"chr18"	56168330	56168830	501	"*"	4.17	2.57	4.91	-2.35	0.000478	0.0154
"chr4"	168716639	168717139	501	"*"	3.66	4.51	1.26	3.25	0.000479	0.0154
"chr15"	60344804	60345304	501	"*"	6.21	6.64	5.6	1.04	0.000481	0.0154
"chr1"	183270648	183271148	501	"*"	4.86	3.73	5.48	-1.74	0.000482	0.0154
"chr3"	105371977	105372477	501	"*"	3.52	4.41	0.76	3.65	0.000482	0.0154
"chr2"	48855151	48855651	501	"*"	3.37	4.3	-0.16	4.46	0.000482	0.0154
"chr12"	75505689	75506189	501	"*"	4.98	3.95	5.57	-1.62	0.000484	0.0154
"chr1"	223771730	223772230	501	"*"	4.83	3.57	5.5	-1.93	0.000486	0.0155
"chr2"	100281511	100282011	501	"*"	3.37	4.31	-0.16	4.47	0.000486	0.0155
"chr15"	42575433	42575933	501	"*"	6.91	7.28	6.41	0.87	0.000488	0.0155
"chr9"	121347354	121347854	501	"*"	3.38	4.32	-0.16	4.47	0.000491	0.0156
"chr17"	7851618	7852118	501	"*"	4.84	3.73	5.46	-1.73	0.000492	0.0156
"chr5"	169650914	169651414	501	"*"	4.15	2.55	4.89	-2.34	0.000492	0.0156
"chr17"	64590850	64591350	501	"*"	4.39	3.01	5.09	-2.07	0.000494	0.0156
"chr13"	101217074	101217574	501	"*"	3.37	4.31	-0.16	4.47	0.000494	0.0156
"chr2"	191696181	191696681	501	"*"	4.56	3.29	5.22	-1.93	0.000495	0.0156
"chr7"	50657398	50657898	501	"*"	3.84	4.66	1.76	2.9	0.000497	0.0157
"chr10"	103614838	103615338	501	"*"	4.87	3.74	5.49	-1.75	0.000504	0.0159
"chr11"	88420235	88420735	501	"*"	3.36	4.3	-0.16	4.45	0.000507	0.0159
"chr15"	37046836	37047336	501	"*"	3.36	4.3	-0.16	4.45	0.000507	0.0159
"chr9"	121354223	121354723	501	"*"	3.36	4.3	-0.16	4.45	0.000507	0.0159
"chr4"	168839997	168840497	501	"*"	5.03	5.62	3.99	1.64	0.000507	0.0159
"chr13"	109774381	109774881	501	"*"	3.9	4.71	1.92	2.78	0.000508	0.0159
"chr6"	111625647	111626147	501	"*"	4.93	5.54	3.84	1.7	0.000508	0.0159
"chr3"	48687568	48688068	501	"*"	4.32	5.05	2.76	2.29	0.000512	0.016
"chr5"	55962334	55962834	501	"*"	3.51	4.4	0.76	3.64	0.000513	0.016
"chr3"	38829228	38829728	501	"*"	3.56	1.16	4.42	-3.26	0.000513	0.016
"chr3"	152385666	152386166	501	"*"	4.74	5.38	3.57	1.81	0.000514	0.016
"chr18"	61606477	61606977	501	"*"	3.97	2.13	4.76	-2.62	0.000514	0.016
"chr1"	169485559	169486059	501	"*"	7.31	7.63	6.89	0.74	0.000515	0.016
"chr20"	25256252	25256752	501	"*"	3.81	4.65	1.53	3.12	0.000517	0.016
"chr7"	38681811	38682311	501	"*"	4.22	4.96	2.61	2.35	0.000517	0.016
"chr10"	91642871	91643371	501	"*"	3.85	4.65	1.84	2.81	0.000521	0.0161
"chr18"	22638971	22639471	501	"*"	4.38	2.9	5.09	-2.19	0.000523	0.0162
"chr16"	23149136	23149636	501	"*"	5.25	5.8	4.35	1.46	0.000527	0.0163
"chr2"	168455827	168456327	501	"*"	7.01	7.35	6.56	0.79	0.000528	0.0163
"chr2"	133818056	133818556	501	"*"	5.98	5.3	6.44	-1.14	0.000528	0.0163
"chr13"	48251737	48252237	501	"*"	5.22	5.78	4.3	1.48	0.000529	0.0163
"chr13"	30909630	30910130	501	"*"	3.5	4.39	0.76	3.63	0.00053	0.0163
"chr1"	231039909	231040409	501	"*"	4.45	5.16	3.01	2.15	0.000534	0.0164
"chr13"	109758272	109758772	501	"*"	3.44	4.35	0.48	3.86	0.000535	0.0164
"chr11"	76670366	76670866	501	"*"	4.31	2.85	5.02	-2.17	0.000537	0.0165
"chr1"	116393369	116393869	501	"*"	3.45	4.35	0.48	3.87	0.000538	0.0165
"chr9"	115615750	115616250	501	"*"	4.57	3.32	5.23	-1.91	0.000542	0.0166
"chr5"	73692020	73692520	501	"*"	3.74	1.5	4.57	-3.07	0.000543	0.0166
"chr10"	12247260	12247760	501	"*"	3.45	4.36	0.48	3.88	0.000543	0.0166
"chr10"	62071376	62071876	501	"*"	4.27	2.76	5	-2.23	0.000548	0.0167
"chr10"	13161428	13161928	501	"*"	3.48	0.85	4.35	-3.5	0.000549	0.0167
"chr22"	30408802	30409302	501	"*"	4.75	5.41	3.51	1.91	0.000549	0.0167
"chr3"	183370762	183371262	501	"*"	4.47	5.16	3.12	2.04	0.000552	0.0168
"chr16"	86307091	86307591	501	"*"	4.35	5.05	2.92	2.13	0.000553	0.0168
"chr17"	64534343	64534843	501	"*"	5.73	4.97	6.23	-1.26	0.000554	0.0168
